Symbol,Company,Average Monthly Return,StdDev of Monthly Returns,Median of Monthly Returns,Mode of Monthly Returns,Max Monthly Return,Min Monthly Return,Kurtosis of Monthly Returns,Skewness of Monthly Returns
FIX,"COMFORT SYSTEMS USA, INC. (XNYS:FIX)",6.250000%,12.850000%,4.570000%,-33.110000%,35.510000%,-33.110000%,85.660000%,21.600000%
FOX,FOX CORPORATION (XNAS:FOX),2.400000%,7.970000%,1.830000%,0.530000%,31.970000%,-11.360000%,172.880000%,74.750000%
FOXA,FOX CORPORATION (XNAS:FOXA),2.640000%,8.300000%,1.900000%,-12.090000%,36.160000%,-12.090000%,306.430000%,99.260000%
FRT,FEDERAL REALTY INVESTMENT TRUST (XNYS:FRT),0.970000%,7.250000%,-0.650000%,-13.950000%,21.060000%,-13.950000%,60.640000%,74.300000%
FSLR,"FIRST SOLAR, INC. (XNAS:FSLR)",4.330000%,16.460000%,3.870000%,-18.750000%,58.100000%,-18.750000%,112.870000%,90.850000%
FTNT,"FORTINET, INC. (XNAS:FTNT)",2.490000%,10.530000%,2.300000%,-21.430000%,27.790000%,-21.430000%,11.290000%,-11.520000%
FTV,FORTIVE CORPORATION (XNYS:FTV),-0.120000%,6.920000%,-0.610000%,-15.600000%,18.950000%,-15.600000%,39.710000%,29.530000%
GD,GENERAL DYNAMICS CORPORATION (XNYS:GD),1.840000%,5.170000%,1.630000%,-8.780000%,17.530000%,-8.780000%,121.140000%,35.880000%
GDDY,GODADDY INC. (XNYS:GDDY),0.710000%,8.750000%,1.440000%,-19.660000%,27.120000%,-19.660000%,75.820000%,24.500000%
GE,GENERAL ELECTRIC COMPANY (XNYS:GE),4.220000%,9.420000%,3.440000%,-17.750000%,30.950000%,-17.750000%,86.430000%,41.920000%
GEHC,GE HealthCare Technologies Inc. (XNAS:GEHC),1.080000%,6.990000%,0.000000%,0.000000%,21.760000%,-23.910000%,367.960000%,14.390000%
GEN,GEN DIGITAL INC. (XNAS:GEN),1.290000%,9.830000%,0.940000%,-3.250000%,35.530000%,-15.670000%,148.720000%,83.750000%
GEV,GE VERNOVA INC. (XNYS:GEV),3.630000%,10.550000%,0.000000%,0.000000%,43.530000%,-22.020000%,429.170000%,177.520000%
GILD,"GILEAD SCIENCES, INC. (XNAS:GILD)",1.670000%,6.740000%,0.760000%,-12.000000%,30.230000%,-12.000000%,480.570000%,125.680000%
GIS,"GENERAL MILLS, INC. (XNYS:GIS)",-0.490000%,5.260000%,0.500000%,-12.190000%,10.470000%,-12.190000%,-57.000000%,-11.550000%
GL,GLOBE LIFE INC. (XNYS:GL),1.680000%,7.920000%,0.780000%,-34.400000%,22.480000%,-34.400000%,652.530000%,-108.920000%
GLW,CORNING INCORPORATED (XNYS:GLW),2.220000%,8.830000%,1.380000%,-16.220000%,26.820000%,-16.220000%,20.290000%,41.020000%
GM,GENERAL MOTORS COMPANY (XNYS:GM),2.430000%,10.900000%,3.070000%,-18.200000%,27.410000%,-18.200000%,-51.250000%,18.240000%
GNRC,GENERAC HOLDINGS INC. (XNYS:GNRC),0.410000%,16.100000%,-1.620000%,-43.160000%,32.160000%,-43.160000%,-38.200000%,0.960000%
GOOG,ALPHABET INC. (XNAS:GOOG),2.690000%,8.760000%,2.040000%,-17.800000%,24.560000%,-17.800000%,-14.400000%,8.130000%
GOOGL,ALPHABET INC. (XNAS:GOOGL),2.670000%,8.810000%,2.030000%,-17.410000%,24.920000%,-17.410000%,-16.420000%,12.000000%
GPC,GENUINE PARTS COMPANY (XNYS:GPC),0.160000%,7.230000%,-0.340000%,-16.620000%,19.340000%,-16.620000%,1.840000%,17.710000%
GPN,GLOBAL PAYMENTS INC. (XNYS:GPN),-0.870000%,9.940000%,-1.620000%,-26.300000%,24.890000%,-26.300000%,-2.480000%,14.140000%
GRMN,Garmin Ltd (XNYS:GRMN),1.580000%,7.980000%,1.790000%,-21.730000%,25.510000%,-21.730000%,125.690000%,7.740000%
GS,"THE GOLDMAN SACHS GROUP, INC. (XNYS:GS)",3.020000%,8.160000%,3.290000%,-14.440000%,22.130000%,-14.440000%,-43.050000%,7.670000%
GWW,"W.W. GRAINGER, INC. (XNYS:GWW)",2.610000%,8.530000%,2.170000%,-13.610000%,22.000000%,-13.610000%,6.240000%,68.400000%
HAL,HALLIBURTON COMPANY (XNYS:HAL),2.180000%,13.920000%,0.390000%,-26.300000%,56.300000%,-26.300000%,322.570000%,123.410000%
HAS,"Hasbro, Inc. (XNAS:HAS)",0.670000%,9.820000%,0.180000%,-29.730000%,25.030000%,-29.730000%,93.010000%,-5.470000%
HBAN,HUNTINGTON BANCSHARES INCORPORATED (XNAS:HBAN),1.480000%,8.840000%,0.830000%,-26.750000%,19.790000%,-26.750000%,76.910000%,-8.060000%
HCA,"HCA HEALTHCARE, INC. (XNYS:HCA)",2.140000%,8.710000%,3.350000%,-21.800000%,21.560000%,-21.800000%,4.100000%,-12.680000%
HD,"THE HOME DEPOT, INC. (XNYS:HD)",0.580000%,7.190000%,1.210000%,3.130000%,25.920000%,-14.250000%,158.980000%,39.860000%
HIG,"THE HARTFORD INSURANCE GROUP, INC. (XNYS:HIG)",2.160000%,6.330000%,0.810000%,-10.620000%,24.560000%,-10.620000%,181.790000%,94.590000%
HII,"HUNTINGTON INGALLS INDUSTRIES, INC. (XNYS:HII)",2.380000%,8.410000%,1.930000%,-23.930000%,24.930000%,-23.930000%,136.760000%,2.950000%
HLT,HILTON WORLDWIDE HOLDINGS INC. (XNYS:HLT),2.530000%,7.050000%,2.150000%,-13.740000%,16.310000%,-13.740000%,-26.460000%,-0.320000%
