Symbol,Company,Average Monthly Return,StdDev of Monthly Returns,Median of Monthly Returns,Mode of Monthly Returns,Max Monthly Return,Min Monthly Return,Kurtosis of Monthly Returns,Skewness of Monthly Returns
KR,THE KROGER CO. (XNYS:KR),1.516100%,7.622800%,0.801000%,-12.166000%,31.613000%,-12.166000%,357.093900%,128.370400%
KVUE,KENVUE INC. (XNYS:KVUE),-0.399000%,6.819100%,0.000000%,0.000000%,20.738000%,-21.632000%,287.759600%,12.692000%
L,LOEWS CORPORATION (XNYS:L),1.738900%,5.186200%,1.965000%,-9.890000%,14.406000%,-9.890000%,-15.031700%,10.176000%
LDOS,"LEIDOS HOLDINGS, INC. (XNYS:LDOS)",1.343000%,8.372700%,0.956000%,-16.604000%,20.760000%,-16.604000%,-19.625500%,7.161000%
LEN,LENNAR CORPORATION (XNYS:LEN),0.845400%,10.226600%,1.419000%,-21.802000%,21.744000%,-21.802000%,-21.920200%,3.388700%
LH,LABCORP HOLDINGS INC. (XNYS:LH),0.773900%,6.590100%,0.917000%,-14.081000%,13.551000%,-14.081000%,-51.367900%,-21.063700%
LHX,"L3HARRIS TECHNOLOGIES, INC. (XNYS:LHX)",1.434500%,7.319400%,1.019000%,-14.607000%,20.555000%,-14.607000%,61.227000%,53.002800%
LII,LENNOX INTERNATIONAL INC. (XNYS:LII),1.351000%,7.536000%,1.147000%,-17.323000%,18.351000%,-17.323000%,-26.687200%,5.387300%
LIN,LINDE PUBLIC LIMITED COMPANY (XNAS:LIN),1.181000%,6.031200%,1.061000%,-11.937000%,14.695000%,-11.937000%,-19.403100%,6.822900%
LLY,ELI LILLY AND COMPANY (XNYS:LLY),3.765200%,9.486200%,3.128000%,-17.941000%,24.640000%,-17.941000%,-38.281500%,17.344900%
LMT,LOCKHEED MARTIN CORPORATION (XNYS:LMT),1.025300%,6.764800%,0.268000%,-9.341000%,25.988000%,-9.341000%,212.215800%,115.173700%
LNT,ALLIANT ENERGY CORPORATION (XNAS:LNT),0.423400%,5.308300%,0.092000%,-13.188000%,12.192000%,-13.188000%,-20.351800%,7.230000%
LOW,"LOWE'S COMPANIES, INC. (XNYS:LOW)",0.873900%,7.349600%,-0.441000%,-14.814000%,19.681000%,-14.814000%,-8.845400%,38.789700%
LRCX,LAM RESEARCH CORPORATION (XNAS:LRCX),3.279400%,11.886000%,2.473000%,-18.053000%,33.699000%,-18.053000%,-66.351800%,19.940200%
LULU,LULULEMON ATHLETICA INC. (XNAS:LULU),-0.436800%,11.438800%,0.008000%,-31.661000%,19.257000%,-31.661000%,-30.428400%,-23.793800%
LUV,SOUTHWEST AIRLINES CO. (XNYS:LUV),1.037300%,11.589300%,-1.387000%,-21.239000%,38.962000%,-21.239000%,137.509000%,81.418200%
LVS,LAS VEGAS SANDS CORP. (XNYS:LVS),1.272800%,11.679800%,-0.159000%,-19.624000%,30.173000%,-19.624000%,14.226900%,52.054000%
LW,"LAMB WESTON HOLDINGS, INC. (XNYS:LW)",-0.625100%,9.671800%,0.751000%,-29.072000%,22.072000%,-29.072000%,152.426900%,-65.556500%
LYB,LyondellBasell Industries NV (XNYS:LYB),-0.399100%,7.991800%,-0.550000%,-23.449000%,21.327000%,-23.449000%,130.956800%,13.841700%
LYV,"LIVE NATION ENTERTAINMENT, INC. (XNYS:LYV)",2.257100%,10.703700%,1.539000%,-15.940000%,33.725000%,-15.940000%,5.154800%,46.818000%
MA,MANILA MINING CORPORATION (XPHS:MA),1.686000%,25.700900%,-2.857000%,-11.818000%,170.968000%,-27.941000%,3201.991800%,505.077500%
MAA,"MID-AMERICA APARTMENT COMMUNITIES, INC. (XNYS:MAA)",0.425000%,6.434600%,-0.554000%,-11.416000%,16.169000%,-11.416000%,-47.925400%,30.153600%
MAR,"MARRIOTT INTERNATIONAL, INC. (XNAS:MAR)",2.266300%,9.101200%,1.527000%,-20.731000%,27.341000%,-20.731000%,103.092500%,34.960400%
MAS,MASCO CORPORATION (XNYS:MAS),0.507400%,8.957900%,0.463000%,-19.469000%,18.750000%,-19.469000%,-57.409800%,20.065300%
MCD,MCDONALD'S CORPORATION (XNYS:MCD),0.638500%,4.880500%,-0.482000%,-8.538000%,18.168000%,-8.538000%,138.193800%,88.616300%
MCHP,MICROCHIP TECHNOLOGY INCORPORATED (XNAS:MCHP),0.707900%,10.714900%,-2.459000%,-20.055000%,28.264000%,-20.055000%,-9.936300%,59.826800%
MCK,MCKESSON CORPORATION (XNYS:MCK),2.941800%,6.964100%,2.575000%,-11.881000%,25.552000%,-11.881000%,114.148000%,49.350300%
MCO,MOODY'S CORPORATION (XNYS:MCO),0.978900%,7.379600%,0.901000%,-14.554000%,18.494000%,-14.554000%,-49.254200%,24.471000%
MDLZ,"Mondelez International, Inc. (XNAS:MDLZ)",0.023300%,5.706000%,-0.939000%,-11.364000%,17.003000%,-11.364000%,50.081300%,75.195500%
