Symbol,Average Monthly Return,StdDev of Monthly Returns,Median of Monthly returns,Mode of Monthly Returns,Max Monthly Return,Min Monthly Return,Kurtosis of Monthly Returns,Skewness of Monthly Returns
IRM,0.025681639,0.088698079,0.04089,-0.17416,0.20666,-0.17416,-0.320927612,-0.346641143
ISRG,0.019599836,0.101275943,0.02164,-0.20907,0.31493,-0.20907,0.238968634,0.136590784
IT,0.016671639,0.105044259,0.01215,-0.25826,0.3096,-0.25826,0.953198174,0.201469572
ITW,0.005567541,0.066597239,0.00885,-0.12409,0.18201,-0.12409,-0.006665951,0.307653759
IVZ,0.013434098,0.117199589,0.0275,-0.21113,0.33228,-0.21113,0.10328784,0.407620029
J,0.011597541,0.075312181,0.01524,-0.17354,0.28041,-0.17354,1.923483118,0.390912721
JBHT,0.009761148,0.087015547,0.00341,0.01013,0.25855,-0.18409,0.868392002,0.503363465
JBL,0.036549508,0.100225178,0.02958,-0.16759,0.29814,-0.16759,-0.085855557,0.180192019
JCI,0.022216066,0.091682526,0.02705,-0.15083,0.2397,-0.15083,-0.526003504,0.111691539
JKHY,0.005065082,0.068256096,0.00702,-0.16309,0.17424,-0.16309,0.016499041,0.248744509
JNJ,0.006964754,0.048246625,0.00748,-0.08597,0.09709,-0.08597,-0.860866022,0.045185588
JPM,0.024055902,0.077667004,0.02338,-0.14838,0.20459,-0.14838,-0.19346178,0.238866514
K,0.006921803,0.061498095,0.00339,-0.09617,0.38624,-0.09617,24.01966003,3.940141801
KDP,0.00120459,0.055481399,-0.00132,-0.12307,0.13197,-0.12307,-0.18570487,-0.003800212
KEY,0.01241377,0.109295422,0.01308,-0.34758,0.33225,-0.34758,1.60536363,-0.062251833
KEYS,0.007028361,0.085257227,0.00679,-0.18251,0.17954,-0.18251,-0.534733767,-0.110116755
KHC,0.000734918,0.064983239,-0.00279,-0.1126,0.19367,-0.1126,0.206018188,0.596369646
KIM,0.013959016,0.087315735,0.00517,-0.16406,0.40741,-0.16406,5.641591201,1.43895223
KKR,0.026915574,0.126010443,0.02334,-0.30801,0.36895,-0.30801,0.415838255,0.111622746
KLAC,0.034411639,0.102065472,0.0231,-0.13969,0.27787,-0.13969,-0.557773674,0.358665131
KMB,-0.002685574,0.058049728,-0.01645,-0.12138,0.12723,-0.12138,-0.40948063,0.227349565
KMI,0.015495082,0.067351647,0.0195,-0.14881,0.2084,-0.14881,0.56438799,0.38818936
KO,0.010361639,0.052179924,0.01158,-0.12199,0.12888,-0.12199,0.350542554,-0.012771882
KR,0.015983279,0.075503588,0.00941,-0.12166,0.31613,-0.12166,3.741865508,1.305477852
KVUE,-0.004296393,0.065845913,0,0,0.18713,-0.21632,2.499121496,-0.157575634
L,0.022114098,0.057175994,0.02196,-0.0989,0.20848,-0.0989,0.956953035,0.47173855
LDOS,0.016795246,0.086804645,0.01126,-0.16604,0.21325,-0.16604,-0.127121983,0.153546554
